Suriname	hasOfficialLanguage	Dutch_language
Mantorras	playsFor	F.C._Alverca
Pablo_Bonells	isAffiliatedTo	Club_Celaya
Victorio_Cocco	isAffiliatedTo	Argentina_national_football_team
Telmo_Zarra	diedIn	Bilbao
Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury	hasGender	male
Torbjörn_Nilsson	isAffiliatedTo	IFK_Göteborg
Rosemère,_Quebec	isLocatedIn	Quebec
Mark_Blake_(footballer_born_1970)	isAffiliatedTo	Portsmouth_F.C.
Tony_Jantschke	playsFor	Germany_national_youth_football_team
Pavel_Košťál	isAffiliatedTo	F.C._Hansa_Rostock
Bret_McKenzie	hasMusicalRole	wordnet_vocal_music_107282006
Édouard_Wawrzyniak	isAffiliatedTo	Valenciennes_F.C.
Chaker_Zouagi	playsFor	Olmaliq_FK
Guy_Dardenne	isAffiliatedTo	R._White_Daring_Molenbeek
Alan_Sunderland	playsFor	Derry_City_F.C.
José_Callejón	playsFor	Real_Madrid_C
Jesús_Turiel	isAffiliatedTo	Real_Valladolid_B
Divya_Bharti	actedIn	Balwaan
Luciano_Quadros_da_Silva	wasBornIn	Porto_Alegre
Battle_of_the_Dukla_Pass	happenedIn	Nazi_Germany
Frank_Mill	isAffiliatedTo	Fortuna_Düsseldorf
Volodymyr_Muntyan	isAffiliatedTo	S.K._Tavriya_Simferopol
Leopold_III,_Margrave_of_Austria	hasChild	Gertrude_of_Babenberg,_Duchess_of_Bohemia
Marcel_Schmelzer	playsFor	Germany_national_under-21_football_team
Eran_Zahavi	wasBornIn	Rishon_LeZion
Robert_Louis_Stevenson	influences	David_Leavitt
Stan_Lazaridis	playsFor	Perth_Glory_FC
Sean_Green_(basketball)	isAffiliatedTo	Utah_Jazz
Fabio_Bonci	playsFor	Parma_F.C.
National_Union_(Israel)	isLocatedIn	Jerusalem
Arran_Lee-Barrett	playsFor	Cardiff_City_F.C.
Larbi_Benbarek	isAffiliatedTo	RS_Settat
Celso_Brum_Junior	playsFor	Clube_Esportivo_Bento_Gonçalves
Republic_of_Serbian_Krajina	participatedIn	Croatian_War_of_Independence
Srikanth_Deva	wroteMusicFor	Sivakasi_(film)
Jörg_Reeb	playsFor	FC_Augsburg
Josip_Škorić	hasGender	male
Gerald_Thomas	directed	Carry_On_Emmannuelle
Erik_Sundin	isAffiliatedTo	Trelleborgs_FF
Anzor_Kavazashvili	isAffiliatedTo	FC_Spartak_Moscow
Jean_Templin	wasBornIn	Baranovichi
Grigorij_Khizhnyak	isAffiliatedTo	Makedonikos_B.C.
Wang_Xiao	playsFor	Tianjin_Teda_F.C.
Alexander_Downer	hasWonPrize	Centenary_Medal
Weston,_Connecticut	isLocatedIn	New_York_metropolitan_area
Oscoda,_Michigan	isLocatedIn	Iosco_County,_Michigan
Gmina_Pietrowice_Wielkie	isLocatedIn	Racibórz_County
Herman_Van_Rompuy	hasGender	male
Kenny_Tete	playsFor	Ajax_Youth_Academy
Manuel_Clares	isAffiliatedTo	Spain_national_football_team
George_H._Plympton	created	The_Green_Hornet_(serial)
Justin_Moose	isAffiliatedTo	Sriracha_F.C.
Joe_Smith_(footballer_born_1890)	hasGender	male
Saving_Private_Ryan	isLocatedIn	United_States
William_S._Burroughs	influences	Michael_Cisco
Oliver_Hardy	actedIn	The_Devil's_Brother
Gertrude_of_Babenberg,_Duchess_of_Bohemia	hasChild	Frederick,_Duke_of_Bohemia
Louis_I_of_Hungary	diedIn	Trnava
Eric_Bana	actedIn	Hulk_(film)
Gonzalo_Abán	playsFor	Racing_de_Olavarría
Stuart_Gilmore	edited	Thoroughly_Modern_Millie
Folsom,_California	isLocatedIn	Sacramento_County,_California
Battle_of_Dürenstein	happenedIn	First_French_Empire
Prince_Leopold_of_Bavaria	hasWonPrize	Grand_Cross_of_the_Iron_Cross
Teejan_Bai	hasWonPrize	Padma_Shri
